source	name	metadata	method	ingredients	cooklang
data/bronze/bonmot/beef-stroganoff-single-burner.cook.source	beef-stroganoff-single-burner.cook		Dredge it in flour & pepper and fry in lots of butter until browned. set aside but keep the butter in the . pan..Cook onion, mushrooms & garlic, add paprika, more pepper & salt. add to beef..Deglaze frying pan with wine & reduce. .Add the beef & vegetables; sauce will thicken, leave in the frying pan..You're going to make a stack: the . boiling the noodles on the bottom; the steam from that keeping the sauce warm; and a lid over the sauce..When the salted noodle water is boiling, add the egg noodles AND add sour cream to the frying pan; do not stir so when you spoon it out, it's varigated; put the top lid back on..The noodles will cook in about .Spoon sauce out onto a bed of noodles	about 100g/person  beef,a few tbl  flour,some  pepper,3 tbl  butter,1  onion,2 handfuls  mushrooms,2 cloves  garlic,1 tbl  paprika,some  salt,1 c  wine,some  salt,1 cup dry per person  egg noodles,1 c  sour cream	"Cut @beef{about 100g/person} into strips about the size of your little finger.
Dredge it in @flour{a few tbl} & @pepper{} and fry in lots of @butter{3 tbl} until browned. set aside but keep the butter in the #fryng pan{}.
Cook @onion{1}, @mushrooms{2 handfuls} & @garlic{2 cloves}, add @paprika{1 tbl}, more pepper & @salt{}. add to beef.

Deglaze frying pan with @wine{1 c} & reduce. 
Add the beef & vegetables; sauce will thicken, leave in the frying pan.
You're going to make a stack: the #pot{} boiling the noodles on the bottom; the steam from that keeping the sauce warm; and a lid over the sauce.
When the @salt{}ed noodle water is boiling, add the @egg noodles{1 cup dry per person} AND add @sour cream{1 c} to the frying pan; do not stir so when you spoon it out, it's varigated; put the top lid back on.
The noodles will cook in about ~{10 minutes}.
Spoon sauce out onto a bed of noodles."
data/bronze/bonmot/instant-pot-pho.cook.source	instant-pot-pho.cook		Chop up onions/carrots/celery/fresh ginger all together in a .Collect pho spices: whole star anise, whole cloves, whole black pepper, fennel seeds, cinnamon stick, bay leaves.Set . pot to saute high, throw a couple tablespoons of canola oil in there, wait for it to get hot.Sear off the bones & trimmings, whatever in small batches till you get some nice browning. Dump into a bowl..Deglaze the instant pot with hot water, pour that in with the bones/meat..Wipe out the instant pot, put in fresh oil, set to saute high again and roast the pho spice. Keep stirring, wait for some snapping/popping to happen and a real good smell..Add the chopped veg and cook .Deglaze with more water. Then dump in the bones/water, top up to the max line on the instant pot with hot water from a kettle. Add the fish sauce and brown sugar or palm sugar..Put the lid on and pressure cook on high	1  steak,3  onions,3  carrots,3 sticks  celery,2 tbsp  fresh ginger,6  whole star anise,6  whole cloves,1 tsp  whole black pepper,1 tsp  fennel seeds,1  cinnamon stick,3  bay leaves,some  canola oil,3-4 pounds  bones,1/4 c  fish sauce,1/4 c  brown sugar or palm sugar,some  pho noodles,some  cilantro,1  lemongrass stalk,6  kaffir lime leafs,some  bean sprouts,some  thai basil,some  hoisin sauce,some  sriracha	"Trim your @steak{1} into a nice rectangle that you can slice into thin strips, cutting off fatty or sinewy bits on the outside and whatever - save these trimmings.
Chop up @onions{3}/@carrots{3}/@celery{3 sticks}/@fresh ginger{2 tbsp} all together in a #bowl{}
Collect pho spices: @whole star anise{6}, @whole cloves{6}, @whole black pepper{1 tsp}, @fennel seeds{1 tsp}, @cinnamon stick{1}, @bay leaves{3}
Set #instant pot{} to saute high, throw a couple tablespoons of @canola oil{} in there, wait for it to get hot
Sear off the @bones{3-4 pounds} & trimmings, whatever in small batches till you get some nice browning. Dump into a bowl.
Deglaze the instant pot with hot water, pour that in with the bones/meat.
Wipe out the instant pot, put in fresh oil, set to saute high again and roast the pho spice. Keep stirring, wait for some snapping/popping to happen and a real good smell.
Add the chopped veg and cook ~{until nicely seared}.
Deglaze with more water. Then dump in the bones/water, top up to the max line on the instant pot with hot water from a kettle. Add the @fish sauce{1/4 c} and @brown sugar or palm sugar{1/4 c}.
Put the lid on and pressure cook on high ~{1 hr}. Let it cool down for another ~{1/2 hour}, remove the lid and let it cool some more.
Put a #colander{} over a #big stock pot or bowl{} or something and dump out the instant pot into it, to collect the big chunky bits.
Clean out the instant pot, then dump the stock pot/bowl/whatever back into it through a fine strainer. Bring to a simmer again on saute setting.
Boil your @pho noodles{}, thinly slice your steak, chop up your @cilantro{}, @lemongrass stalk{1}, @kaffir lime leafs{6}.
Prepare a bowl. Noodles in the bottom, sliced beef over the noodles, pour the hot broth over it (hot broth cooks the beef!) and add @bean sprouts{}, @thai basil{}, @hoisin sauce{}, @sriracha{} to your own taste."
data/bronze/bonmot/beef-stew.cook.source	beef-stew.cook		"Pot, just barely cover with water, lid on, pressure cook for .Partially defrost steak so it's easy to make approximate 1"" cubes..Cut up carrots into approximate 1"" chunks, cut onions in half, peel garlic, all into a . bowl..If the turnips aren't soft, give them another"	0.5  turnip,8 oz  steak,2  carrots,2  onions,1 big clove  garlic,3 tbl  cooking oil,4 tbl  flour,1 tbl  pepper,some  instant gravy package,1  bay leaf	"Cut @turnip{1/2} into approximate 1"" cube chunks, place in #Instant Pot{}, just barely cover with water, lid on, pressure cook for ~{20 minutes}.
Partially defrost @steak{8 oz} so it's easy to make approximate 1"" cubes.
Cut up @carrots{2} into approximate 1"" chunks, cut @onions{2} in half, peel @garlic{1 big clove}, all into a #big bowl{}.
If the turnips aren't soft, give them another ~{10 minutes}. When they're done, dump turnip and its water into the bowl.
Set Insant Pot to Sautée and add @cooking oil{3 tbl} 
Dredge beef in @flour{4 tbl} & @pepper{1 tbl} mix, brown on all sides in batches. Add to the big bowl as you do a batch. Keep the leftover flour & pepper.
Put beef, vegetables, @instant gravy package{}, @bay leaf{1} and 2 tbl of the leftover flour and pepper mix, cover with cold water and stir well to fully dissolve the flour & gravy powder.
Option 1: set Instant Pot to Slow Cook Medium for ~{8 hours} until supper. Option 2: put the pressure lid back on and cook for ~{3/4 hour}.
Serve with mashed, rice or french fries."
data/bronze/bonmot/caesar-salad.cook.source	caesar-salad.cook		"or food processor and mince.with the motor running, add oil and process until milky.Move the oil into a separate container and slightly scrape out the bowl with the rubber scraper.  You don't have to wash it before making the dressing..Preheat oven to 350.Cut bread into 5/8"" cubes.  Big meaty cubes, not those dinky little cubes you get everywhere else..Drizzle a couple tbl of the garlic oil on a . sheet, put the bread on, drizzle another couple tbl over it. .Bake for"	3  garlic cloves,1 1/4 c  oil,half loaf, 4-5 slices  bread,1  egg,1 tbl  Worcestershire,1/2 tsp  dry mustard,about 1 tsp  anchovy paste or anchovy,1 tsp  black pepper,1/2 tsp  salt,1 tbl  Balsamic vinegar,2 tbls  White vinegar,1 head  romaine,1/4 cup  parmesan cheese,some  black pepper	"Peel @garlic cloves{3} and place in bowl of #blender or food processor{} and mince
with the motor running, add @oil{1 1/4 c} and process until milky
Move the oil into a separate container and slightly scrape out the bowl with the rubber scraper.  You don't have to wash it before making the dressing.

Preheat oven to 350
Cut @bread{half loaf, 4-5 slices} into 5/8"" cubes.  Big meaty cubes, not those dinky little cubes you get everywhere else.
Drizzle a couple tbl of the garlic oil on a #cookie sheet{}, put the bread on, drizzle another couple tbl over it. 
Bake for ~{12 minutes}, until just golden, turning halfway.  Watch them the last few minutes as they turn quickly.
Remove from oven promptly and let cool.  
When they're completely cool -- a couple hours -- they will stay fresh in a zip-loc for weeks.

With the blender / food processor off, put in the bowl: the @egg{1}, @Worcestershire{1 tbl}, @dry mustard{1/2 tsp}, @anchovy paste or anchovy {about 1 tsp}, @black pepper{1 tsp}, and @salt{1/2 tsp} if you like extra salt

Have ready: the remaining 1c of garlic oil, #1 tbl measuring spoon{}, @Balsamic vinegar{1 tbl}, @White vinegar{2 tbls}

Turn on the food processor / blender.  
Slowly drizzle 1/3 of the oil in - it'll take you maybe ~{10 seconds}.  
Now alternate the vinegars and the remaining thirds of the oil. You can stop the machine before adding vinegar, but have it running when you add the oil.
Stop & scrape down the bowl, process another second or two. It should have the consistency of mayonnaise.

Do not have ready: bacon bits!! Caesar Salad does not have bacon bits. Spinach salad does.

Cut the @romaine{1 head} into 1"" pieces. Yes, I know you're supposed to tear.  Fuck that.  Chop the base parts of the leafs finer than the tops.  Place in #big salad serving bowl{}.
Pour half of the dressing over and toss until every piece has some dressing
Sprinkle maybe 1 cup of croutons and @parmesan cheese{1/4 cup} over top (or romano if you're snobby.)

Even if you're just a little snobby, grind a little @black pepper{} over the top."
data/bronze/bonmot/tangy-tofu.cook.source	tangy-tofu.cook		Cut into 6-8 steaks and set aside. .Preheat a . pan over medium heat..In a small pot add BBQ sauce, worchestershire sauce, sesame oil, soy sauce, brown sugar, and sriracha and combine over low heat. .Generously season the steaks with black pepper, garlic powder, and salt. .Fry the steaks in sesame oil and olive oil until crispy. .Remove the tofu and coat each piece in the sauce and enjoy!	1 block  tofu,some  BBQ sauce,some  worchestershire sauce,some  sesame oil,some  soy sauce,some  brown sugar,some  sriracha,some  black pepper,some  garlic powder,some  salt,some  olive oil	"Press the @tofu{1 block} thoroughly.

Cut into 6-8 steaks and set aside. 

Preheat a #frying pan{} over medium heat.

In a small pot add @BBQ sauce{}, @worchestershire sauce{}, @sesame oil{}, @soy sauce{}, @brown sugar{}, and @sriracha{} and combine over low heat. 

Generously season the steaks with @black pepper{}, @garlic powder{}, and @salt{}. 

Fry the steaks in sesame oil and @olive oil{} until crispy. 

Remove the tofu and coat each piece in the sauce and enjoy!"
data/bronze/bonmot/flammekueche.cook.source	flammekueche.cook		Mélanger la farine, l'huile (olive ou végétale) le sel et l'eau dans un bol. La pate doit être légèrement humide.Faire cuire lardon et oignon avec du beurre.ajouter  creme fraiche, sel, poivre.fromage blanc, oeuf, farine	140g  farine,1 cuillère à soupe huile (olive ou végétale),0.25 cuillère à café sel,1/4 de verre ou 60 ml  eau,70g  lardon,0.5  oignon,0.5 cuillère à soupe beurre,3 cuillère à soupe creme fraiche,some  sel,some  poivre,200g  fromage blanc,1  oeuf,1 cuillère à soupe  farine	"-- Cake

Four à 230C
Mélanger la @farine{140g}, l'@huile (olive ou végétale){1%cuillère à soupe} le @sel{1/4%cuillère à café} et l'@eau{1/4 de verre ou 60 ml} dans un bol. La pate doit être légèrement humide

Faire cuire @lardon{70g} et @oignon{1/2} avec du @beurre{1/2% cuillère à soupe}
ajouter  @creme fraiche{3%cuillère à soupe}, @sel{}, @poivre{}

@fromage blanc{200g}, @oeuf{1}, @farine{1 cuillère à soupe}"
data/bronze/bonmot/mushroom-noodle-soup.cook.source	mushroom-noodle-soup.cook		Pot with a lid, on sautée medium..Dice onion, celery and carrots and sauté until soft, around .Slice cremini mushrooms.Season well with sea salt and black pepper and add the mushrooms..Sauté for a further	1 tbl  olive oil,1  onion,2 ribs  celery,2  carrots,4 c  cremini mushrooms,some  sea salt,some  black pepper,3 cloves  minced garlic,2 tbl  brandy,6 c  vegetable stock,5 springs  thyme sprigs,10 oz  wide egg noodles,1 c  cream,1 tbl  parsley	"Heat the @olive oil{1 tbl} in the #Instant Pot{} with a lid, on sautée medium.
Dice @onion{1}, @celery{2 ribs} and @carrots{2} and sauté until soft, around ~{10 minutes}.
Slice @cremini mushrooms{4 c}
Season well with @sea salt{} and @black pepper{} and add the mushrooms.
Sauté for a further ~{10 minutes} over a medium-high heat, stirring occasionally.
The mushrooms should be turning dark - this will ensure a good savory umami flavor for the soup.
Stir in the @minced garlic{3 cloves} and add the @brandy{2 tbl} if using or water. Stir and scrape up any bits left in the bottom of the pot.
Add the @vegetable stock{6 c} and @thyme sprigs{5 springs} then simmer for ~{10 minutes} to allow the flavors to come together.
Add the @wide egg noodles{10 oz} and simmer as per packet directions until ~{al dente}.
Taste and season again.
Finish by stirring through the @cream{1 c} and garnish with the chopped @parsley{1 tbl} if using.
Serve hot!"
data/bronze/bonmot/quick-walnut-cinnamon-rolls.cook.source	quick-walnut-cinnamon-rolls.cook		"Add milk/cream and stir; dough should be thick but hold together and form a ball..Dust the counter with flour and turn the dough out onto it..Knead - that is, push down, fold over, push down again, 3 or 4 times. Stop. Do not knead any more..Roll out dough into a rectangle about 1/4"" thick..Spread butter evenly on dough with a butter knife. .Sprinkle cinnamon, brown sugar, and walnut pieces on top..Roll up into a log. Grease six cups of a muffin tin..Cut the log into six slices, place in muffin tin..Bake for about"	1 cup  flour,2 tsp  baking powder,2 tbl  sugar/splenda,5 oz  milk/cream,3 tbl  butter,2 tbl  cinnamon,3 tbl  brown sugar,1/4 c  walnut pieces	"Sift @flour{1 cup}, @baking powder{2 tsp}, and @sugar/splenda{2 tbl} together into a small bowl. 
Add @milk/cream{5 oz} and stir; dough should be thick but hold together and form a ball.
Dust the counter with flour and turn the dough out onto it.
Knead - that is, push down, fold over, push down again, 3 or 4 times. Stop. Do not knead any more.
Roll out dough into a rectangle about 1/4"" thick.
Spread @butter{3 tbl} evenly on dough with a butter knife. 
Sprinkle @cinnamon{2 tbl}, @brown sugar{3 tbl}, and @walnut pieces{1/4 c} on top.
Roll up into a log. Grease six cups of a muffin tin.
Cut the log into six slices, place in muffin tin.
Bake for about ~{12 minutes} or until top is golden."
data/bronze/bonmot/pasta-and-peas.cook.source	pasta-and-peas.cook		pot .Add onions & saut&eacute;e	450g  ground beef,1 c chopped  onions,1/2 lb, sliced  mushrooms,1 tbl  chili flakes,1 tsp  black pepper,400mL / 14oz  tomato sauce,2 c  beef broth,2 oz  balsamic,1 oz  soy sauce,some  pasta,1 c  cream,2 c  frozen peas	"Over medium-low heat, saut&eacute;e @ground beef{450g} in your #big pot{} ~{until browned}.
Add @onions{1 c chopped} & saut&eacute;e ~{until golden}, and then @mushrooms{1/2 lb, sliced} and cook ~{until they're well wilted}.
Add @chili flakes{1 tbl}, @black pepper{1 tsp}, @tomato sauce{400mL / 14oz}, @beef broth{2 c}, @balsamic{2 oz} and @soy sauce{1 oz}. You can pause here - turn it off or leave it on keep-warm.
If you're using dried @pasta{}, cook it in your #pasta pot{} separately, maybe undercooked by 1 minute and drain well.
Add the cooked pasta and let simmer for about ~{15 minutes} until it's absorbed some of the liquid.
Add @cream{1 c} and @frozen peas{2 c}, heat through
Serve garnished with some more of the cream / sour cream and freshly ground black pepper."
data/bronze/bonmot/tangzhong.cook.source	tangzhong.cook		Cook together constantly mixing until sticky and tacky. .As soon as very thick allow to cool to room temp. .Add yeast to 90-95F whole milk. .Mix and sit for . .Wisk bread flour, salt , and sugar in . bowl..Put . hook in. Add tengzhong, milk and yeast, and egg. .Start at low and scrape sides as needed. As soon as it comes together turn to medium speed. .Keep on med-low, gradually adding in unsalted butter , ⅓ at a time. Mix until incorporated	20 g bread flour,some  water	"Mix the @bread flour{20%g}, @water {27%g}, @whole milk {60%g} for the tangzhong.

Cook together constantly mixing until sticky and tacky. ~{2%mins}.

As soon as very thick allow to cool to room temp. 

Add @yeast{9%g} to 90-95F @whole milk{120%g}. 

Mix and sit for ~{10%mins}. 

Wisk @bread flour{320%g}, @salt {3%g}, and @sugar{56%g} in #mixer{} bowl.

Put #dough hook{} in. Add tengzhong, milk and yeast, and @egg{1%whole}. 

Start at low and scrape sides as needed. As soon as it comes together turn to medium speed. 

Keep on med-low, gradually adding in @unsalted butter {42%g}, ⅓ at a time. Mix until incorporated."
