source	name	metadata	method	ingredients	cooklang
data/bronze/recipes/bwmcadams_food-cookbook/cookies/Mexican Hot Chocolate Cookies.source	Mexican Hot Chocolate Cookies		In a large bowl, stir the cocoa and molasses into the warm butter.  In medium bowl combine flour, baking soda, salt, cinnamon and cayenne pepper.  Add sugar, egg and vanilla extract to the large bowl.  Stir dry ingredients into the wet.  Cover and chill dough for as little as an hour or up to 3 days. When ready to bake, preheat oven to 350 degrees.  Roll 1 tablespoon of dough into balls (a . cookie scoop is great for this), and roll them in the remaining white sugar. Place cookies 2 inches apart onto ungreased baking sheets. Bake cookies, one sheet at a time, for 10-12 minutes, until cookies are puffed, centers are set and they are beginning to form cracks.  Do not overbake.  Leave on sheets until they are cool enough to transfer to a wire rack and let cool completely. If you want a slightly more substantial cookie, use a . cookie scoop, 2 tablespoons dough, for each cookie.  You will need to add a minute or two to the bake time and the batch will make about 18 cookies instead of 30	60g  cocoa powder,170g  butter	"-- Source: https://www.bakersbrigade.com/recipe/chewy-mexican-hot-chocolate-cookies/

In a #large bowl{}, bloom the @cocoa powder{60g} by mixing the warm @butter{170g}, stirring until the cocoa is completey dissolved and the texture is smooth. 

Add molasses{2%Tbsp} to the large bowl with the bloomed cocoa, mixing the molasses until it too dissolves. Set the bowl aside to cool (so that it doesn't cook the other ingredients prematurely)

In a #medium bowl{}, combine @all purpose flour{192g}, @baking soda{1%1/2%tsp}, @salt{1/2%tsp}, @cinnamon{1%tsp}, and @cayenne pepper{1/8 - 1/4%tsp}

Once cooled, add @sugar{200g} (you will need to set aside another half cup of @sugar to roll doughballs in{100g}), @egg{1%large}, and @vanilla paste{1%tsp} to the large bowl.

Stir the dry ingredients into the wet ingredients.

Cover and chill the dough in the #refrigerator{} for at least 1 hour, and up to 3 days.

When ready to bake, preheat the oven to 350 degrees.

In a bowl or deep plate, place the additional 100g of sugar.

Using a #No. 50 cookie scoop{}, scoop dough into balls of approximately 1 tablespoon, and roll them in the sugar. A No. 50 should yield you about 30 cookies.

Place dough balls 2 inches apart on ungreased #baking sheets{} or #silicone baking mats (optional){}.

Bake the cookies, one sheet at a time, for ~dough balls{10-12%minutes} until cookies are puffed, centers are set, and they are beginning to form cracks. 

Leave the cookies on the sheets until they're cool enough to transfer to a wire rack to cool completely.

* If you'd like a more substantial cookie, try using a #No. 30 cookie scoop (optional){}, which yields approx. 2 tablespoons of dough for each cookie. Add a minute or two to the bake time. This batch should make about 18 cookies (instead of the 30 cookies yielded by a No. 50)."
data/bronze/recipes/a-h_examplelsp/example-project/pizza.source	pizza		Arrange a rack in the bottom third of the oven. Place a heavy rimmed baking sheet upside-down on the rack, and heat the oven to 450°F.  Make the sauce: Place the garlic in a food processor fitted with the blade attachment and pulse until coarsely chopped, 2 to 3 pulses. Add the tomatoes and their juices, olive oil, sugar, vinegar, salt, and pepper and process until puréed or to desired consistency, 20 to 30 seconds; set aside. Divide the pizza dough into two pieces. If the dough is sticky, dust with a little bit of all-purpose flour. Dust a 12-inch piece of parchment paper with cornmeal and place the dough on it. Use the heel of your hand to press the dough flat. Work from the middle out to shape it into a 10-inch round with your hands or a rolling pin. The dough will stick to the parchment; if it starts to shrink back, wait a few minutes to let it relax and continue shaping. Brush the dough with 1 teaspoon of the olive oil, then spread 1/4 cup of the sauce into a thin layer onto dough, leaving a 1/2-inch border. Carefully remove the preheated baking sheet from the oven and use the parchment paper to slide the pizza onto the back of the baking sheet.  Bake for 4 minutes. Top the pizza with half of the mozzarella, leaving some space between the slices. Bake until the crust is golden brown and crisp and the cheese melts, 6 to 7 minutes more. Remove the pizza from the oven. Immediately drizzle with 2 teaspoons of the olive oil. Scatter half of the basil on the pizza and sprinkle with half of the Parmesan. Cool for 2 minutes before slicing and serving. Repeat with the remaining dough and toppings	4 cloves garlic,1 14.5-oz can tomatoes,2 Tbsp olive oil,1 tsp sugar,1 tsp balsamic vinegar,0.75 tsp salt,0.125 tsp pepper,1 lb pizza dough,some  all-purpose flour,some  cornmeal,8 oz mozzarella,0.25 cup basil,0.25 cup Parmesan	"Arrange a rack in the bottom third of the oven. Place a heavy rimmed baking sheet upside-down on the rack, and heat the oven to 450°F.

Make the sauce: Place the @garlic{4%cloves} in a #food processor{} fitted with the blade attachment and pulse until coarsely chopped, 2 to 3 pulses. Add the @tomatoes{1%14.5-oz can} and their juices, @olive oil{2%Tbsp}, @sugar{1%tsp}, @balsamic vinegar{1%tsp}, @salt{3/4%tsp}, and @pepper{1/8%tsp} and process until puréed or to desired consistency, 20 to 30 seconds; set aside.

Divide the @pizza dough{1%lb} into two pieces. If the dough is sticky, dust with a little bit of @all-purpose flour{}. Dust a 12-inch piece of #parchment paper{} with @cornmeal{} and place the dough on it. Use the heel of your hand to press the dough flat. Work from the middle out to shape it into a 10-inch round with your hands or a rolling pin. The dough will stick to the parchment; if it starts to shrink back, wait a few minutes to let it relax and continue shaping.

Brush the dough with 1 teaspoon of the olive oil, then spread 1/4 cup of the pizza sauce into a thin layer onto dough, leaving a 1/2-inch border. Carefully remove the preheated #baking sheet{} from the oven and use the parchment paper to slide the pizza onto the back of the baking sheet.

Bake for ~{4%minutes}. Top the pizza with half of the @mozzarella{8%oz}, leaving some space between the slices. Bake until the crust is golden brown and crisp and the cheese melts, 6 to ~{7%minutes} more.

Remove the pizza from the oven. Immediately drizzle with 2 teaspoons of the olive oil. Scatter half of the @basil{1/4%cup} on the pizza and sprinkle with half of the @Parmesan{1/4%cup}. Cool for ~{2%minutes} before slicing and serving. Repeat with the remaining dough and toppings."
data/bronze/recipes/briansunter_site/site/recipes/crepes.source	crepes		For the Batter: Combine eggs, milk, flour, melted butter or oil, salt, and sugar (if using) in a blender. Start blender on low speed and increase to high. Blend until smooth, about 10 seconds. Add herbs (if using) and pulse to combine. (Alternatively, you can combine the ingredients in a mixing bowl and whisk vigorously until smooth.) To Cook: Heat a 10-inch nonstick or well-seasoned cast iron or carbon steel skillet over medium heat for 2 minutes. Lightly grease with oil or butter, using a paper towel to wipe out the excess. Hold the pan's handle in one hand and pour in 3 to 4 tablespoons (45 to 60ml) batter, swirling and tilting pan immediately to spread batter in a thin, even layer over bottom of pan. Let cook until top looks dry, about 20 seconds. Using a thin metal or nylon spatula, lift one edge of crepe. Grab that edge with the fingers of both hands and flip crepe. Cook on second side for 10 seconds, then transfer to a plate. Repeat with remaining batter. Fill crepes as desired (such as with butter, sugar, and lemon juice; with butter and jam; with ham, cheese, and eggs ; or with spinach and feta ) and serve. Crepes can also be made ahead and stored, unfilled and wrapped in plastic, in the refrigerator for up to 3 days. Reheat in a nonstick pan to serve	2  large eggs,280 ml whole milk,140 g flour,15 ml melted butter,some  pinch salt,8 g sugar	"Combine @large eggs{2} , @whole milk{280%ml}, @flour{140%g}, @melted butter{15%ml}, @pinch salt{}, and @sugar{8%g} (if using) in a #blender{} .

Start blender on low speed and increase to high. Blend until smooth, about ~{10%seconds}. Add herbs (if using, such as such as parsley, tarragon, chervil, or chives) and pulse to combine.

Heat a 10-inch nonstick or well-seasoned #cast iron{} or carbon steel skillet over medium heat for 2 minutes. Lightly grease with oil or butter, using a paper towel to wipe out the excess.

Hold the pan's handle in one hand and pour in 3 to 4 tablespoons (45 to 60ml) batter, swirling and tilting pan immediately to spread batter in a thin, even layer over bottom of pan.

Let cook until top looks dry, about ~{20%seconds} . Using a thin metal or #nylon spatula{}, lift one edge of crepe. Grab that edge with the fingers of both hands and flip crepe. Cook on second side for 10 seconds, then transfer to a plate. Repeat with remaining batter.

Fill crepes as desired (such as with butter, sugar, and lemon juice; with butter and jam; with ham, cheese, and eggs; or with spinach and feta) and serve. 

Crepes can also be made ahead and stored, unfilled and wrapped in plastic, in the refrigerator for up to 3 days. Reheat in a nonstick pan to serve."
data/bronze/recipes/briansunter_site/site/recipes/oven-bacon.source	oven-bacon		Heat the oven to 450 degrees. Arrange the bacon in a single layer on 2 aluminum foil-lined rimmed baking sheets, or, for extracrispy bacon, arrange on 2 wire racks set over 2 foil-lined rimmed baking sheets. Bake until the bacon is browned and starts to ripple, or to desired doneness, 10 to 20 minutes. (Because the cook time depends on the thickness of the bacon and how you like it cooked, start checking doneness at the 10-minute mark.) Transfer the bacon to a paper towel-lined plate to drain	1 pound bacon	"Heat the #oven to 450 degrees. Arrange the @bacon{1%pound} in a single layer on 2 #aluminum foil{} lined rimmed #baking sheets{}, or, for extra crispy bacon, arrange on 2 #wire rack{} set over 2 foil-lined rimmed baking sheets.

Bake until the bacon is browned and starts to ripple, or to desired doneness, ~{20%minutes} (Because the cook time depends on the thickness of the bacon and how you like it cooked,tart checking doneness at the 10-minute mark.)

Transfer the bacon to a #paper towel{} -lined #plate to drain."
data/bronze/recipes/briansunter_site/site/recipes/sous-vide-asian-flank-steak.source	sous-vide-asian-flank-steak		Set sous vide machine to 54C/129F. In a bowl, mix together soy sauce, sesame oil, ginger and garlic. Put the flank steak in a freezer bag with the sauce mixture, and remove the air through a vacuum sealer or the displacement method. Drop beef in the bath for 2 hours. Remove bag from bath. Take steak out of the bag, pat dry and lightly season with salt and pepper to taste. Heat a large skillet on high and add oil. Sear for 1 to 2 minutes on each side. Remove from pan and place on plate to rest. Garnish with sesame seeds and green onions, serve and enjoy!	120 ml soy sauce,12 ml sesame oil,15 g ginger,3 cloves garlic,4 lb flank steak,some  salt,some  pepper,some  sesame seeds,some  green onions	"Set #sous vide{} machine to 54C/129F 

In a #bowl, mix together @soy sauce{120%ml}, @sesame oil{12%ml}, @ginger{15%g} and @garlic{3%cloves}.

Put the @flank steak{4%lb} in a freezer #bag with the sauce mixture, and remove the air through a vacuum sealer or the displacement method. Drop beef in the bath for ~{2%hour}

Remove bag from bath. Take steak out of the bag, pat dry and lightly season with @salt and @pepper to taste.

Heat a large s#killet on high and add oil. Sear for 1 to 2 minutes on each side.

Remove from pan and place on plate to rest. Garnish with @sesame seeds{} and @green onions{}, serve and enjoy!"
data/bronze/recipes/briansunter_site/site/recipes/east-carolina-bbq-sauce.source	east-carolina-bbq-sauce		Combine all ingredients in a jar or shaker. Seal and shake until sugar has completely dissolved. Use or store at room-temperature for up to 2 weeks	230 g cider vinegar,13 g brown sugar,6 g coarsely ground pepper,8 g hot pepper sauce,4 g salt,6 g crushed red pepper flakes	"East Carolina BBQ Sauce
Combine 
@cider vinegar{230%g} (1 cup)
@brown sugar{13%g}
@coarsely ground pepper{6%g} (2 tsp)
@hot pepper sauce{8%g} (2 tsp)
@salt{4%g} (1 tsp)
@crushed red pepper flakes{6%g} (1 tsp)
in a jar or shaker. 

Seal and shake until sugar has completely dissolved. 

Use or store at room-temperature for up to 2 weeks."
data/bronze/recipes/briansunter_site/site/recipes/brown-butter-rice-krispy-treats.source	brown-butter-rice-krispy-treats		Line rimmed sheet pan with parchment paper or wax paper, or butter it well. In a large pot, melt butter over medium-low heat. It will melt, then foam, then turn clear golden and finally start to turn brown and smell nutty. Watch closely and stir often. When butter is evenly browned, stir in marshmallows. (If using unsalted butter, stir in 1/8 teaspoon salt.) Melt and cook, stirring often, until mixture turns pale brown, then stir constantly until lightly browned but not dark, 3 to 5 minutes. Turn off heat, add cereal, and mix well, preferably with a silicone spoon or a spatula. Scrape into prepared pan and press down lightly. If necessary, butter hands to press mixture flat. Let cool, and cut into squares or bars	8 ounces butter,20 oz marshmallows,12 oz Rice Krispies cereal	"-- Parsed Metadata

Line rimmed #sheet pan{} with #parchment paper{} or wax paper, or butter it well.

In a #large pot{}, melt @butter{8%ounces} over medium-low heat. It will melt, then foam, then turn clear golden and finally start to turn brown and smell nutty. Watch closely and stir often.

When butter is evenly browned, stir in @marshmallows{20%oz}. (If using unsalted butter, stir in 1/8 teaspoon salt.) Melt and cook, stirring often, until mixture turns pale brown, then stir constantly until lightly browned but not dark, ~{5%minutes} .

Turn off heat, add @Rice Krispies cereal{12%oz}, and mix well, preferably with a #silicone spoon{} or a spatula. Scrape into prepared pan and press down lightly. If necessary, butter hands to press mixture flat. Let cool, and cut into squares or bars."
data/bronze/recipes/briansunter_site/site/recipes/instant-pot-chicken-pho-ga-soup-broth.source	instant-pot-chicken-pho-ga-soup-broth		Heat oil in a pressure cooker over high heat until smoking. Add halved onions and ginger, cut sides down. Cook without moving, reducing heat if smoking excessively, until onion and ginger are well charred, about 5 minutes. Add chicken, cilantro, star anise, fennel seed, coriander, cinnamon, and cloves to the pot. Add 2 quarts (1.9 liters) of water, the fish sauce, and the sugar to the pot. Seal the pressure cooker and bring it to high pressure over high heat. Cook on high pressure for 20 minutes, then shock under cold running water in the sink (or release pressure valve if using an electric pressure cooker). Open pressure cooker. Transfer chicken legs to a plate. Pour broth through a fine mesh strainer into a clean pot and discard solids. Skim any scum off the surface of the broth using a ladle, but leave the small bubbles of fat intact. Season broth to taste with more fish sauce and sugar if desired. To serve, place prepared pho noodles in individual bowls. Top with chicken legs, sliced onions, and scallions. Pour hot broth over chicken and noodles. Serve immediately, allowing guests to add herbs, bean sprouts, chiles, lime, and sauces as they wish	30 g ghee,2  medium yellow onions, split in half,1  small piece thinly sliced ginger,8  chicken drumsticks,4 L water,60 ml fish sauce,25 g brown rock sugar,3  star anise pods,2 g fennel seed,2 g coriander seeds,1  cinnamon stick,4  cloves,1  small bunch cilantro,some  prepared pho noodles (slightly undercooked),some  small white or yellow onion,some  thinly sliced scallions,2  lime wedges	"Heat @ghee{30%g} in a #pressure cooker{} over high heat. Add @medium yellow onions, split in half{2} and @small piece thinly sliced ginger{1}, cut sides down. Cook without moving, reducing heat if smoking excessively, until onion and ginger are charred, about ~{5%minutes}.

Add @chicken drumsticks{8} for ~{5%minutes}  until browned.

Prepare @water{4%L} (1 gal) @fish sauce{60%ml} (1/4 cup) and @brown rock sugar{25%g} (sub brown sugar)

Prepare dry spice mixture in #small bowl{} on #digital scale{}. Add @star anise pods{3} @fennel seed{2%g} (1 tsp), @coriander seeds{2%g} (1 teaspoon),@cinnamon stick{1}, and @cloves{4}. Stir for ~{2%minutes} until toasted.

Dump in water mixture and @small bunch cilantro{1} to pressure cooker.

Cook in instant pot on high pressure for ~{20%minutes}. Use quick release pressure valve when finished.

Open pressure cooker. Skim any scum off the surface of the broth using a ladle, but leave the small bubbles of fat intact.

#ladle broth through a #fine mesh strainer{} into a clean pot and discard solids.  Season broth to taste with more fish sauce and sugar if desired.

To serve, place @prepared pho noodles (slightly undercooked){} in individual bowls. Top with chicken legs, @small white or yellow onion{}, and @thinly sliced scallions{}. Pour hot broth over chicken and noodles. Serve immediately, adding herbs, bean sprouts, chiles, @lime wedges{2}, and sauces. 

Freeze individual servings."
data/bronze/recipes/briansunter_site/site/recipes/instant-pot-chicken-cacciatore.source	instant-pot-chicken-cacciatore		Preheat the pressure cooker (by pressing brown/sauté mode). Add chicken stock, salt, and bay leaf and mix well. Then, in the following order, add chicken, onion, garlic powder, oregano, and tomatoes. Close the lid and pressure-cook for 15 minutes at high pressure. When time is up, open the pressure cooker with slow normal release: Open the valve on the lid slowly, or if the valve only opens at full throttle, in small bursts. Remove the lid, tilting it away from you. Mix the contents well, remove, and discard the bay leaf. If the meat isn't almost falling off the bones (it should be), take the internal temperature with a meat thermometer to ensure the chicken is at least 165°F. Using a slotted spoon, arrange the chicken and tomatoes on a deep serving dish. Drizzle with cooking liquid and sprinkle with black olives before serving. Reduce the cooking liquid and serve over chicken and cooked pasta	1 cup chicken stock,1 tsp salt,1  bay leaf,7  chicken,1 medium onion,1 tsp garlic powder,1 tsp oregano,800 g tomato puree can,70 g black olives	"Preheat the pressure cooker (by pressing brown/sauté mode).

Add @chicken stock{1%cup}, @salt{1%tsp}, and @bay leaf{1} and mix well. Then, in the following order, add @chicken{7}, @onion{1%medium}, @garlic powder{1%tsp}, @oregano{1%tsp}, and @tomato puree can {800%g} (28 oz).

Close the lid and pressure-cook for ~{15%minutes} at high pressure. When time is up, open the pressure cooker with slow normal release: Open the valve on the lid slowly, or if the valve only opens at full throttle, in small bursts.

Remove the lid, tilting it away from you. Mix the contents well, remove, and discard the bay leaf. If the meat isn't almost falling off the bones (it should be), take the internal temperature with a meat thermometer to ensure the chicken is at least 165°F.

Using a slotted spoon, arrange the chicken and tomatoes on a deep serving dish. Drizzle with cooking liquid and sprinkle with @black olives{70%g} before serving.

Reduce the cooking liquid and serve over chicken and cooked pasta."
data/bronze/recipes/briansunter_site/site/recipes/stand-mixer-pie-crust.source	stand-mixer-pie-crust		Cut the butter into pieces—aim for 10 from the full-stick and 5 from the half-stick (so each one is slightly smaller than 1 tablespoon). Put the cut-up butter in the freezer for a few minutes, while you work on the dry ingredients.  Combine the flour, sugar, and salt in the bowl of a standing mixer, fitted with a paddle attachment. Mix for a few seconds, just to combine, then turn off.   Add the butter pieces to the dry ingredients. Mix on the lowest setting possible for 5 to 10 seconds—pulsing on/off if necessary, so the flour doesn’t fly out of the bowl—then turn off. Err on the side of undermixing at this step. You want each butter piece to be coated in flour and slightly bashed by the paddle, but most of the pieces should be barely smaller than when you started.  Turn on the mixer to the lowest setting possible, slowly pour in the 1/4 cup very cold water. Once it’s all in, let the mixer run for a couple more seconds, then turn off and check in with the dough. The end goal is a very shaggy dough that holds together when squeezed, with some dough starting to grab onto the paddle attachment, and a few flour streaks on the side of the bowl. If the dough is still quite powdery and dry in some places and the sides of the bowl are still flour-coated, continue to mix while adding another tablespoon of water, and letting that incorporate for a couple seconds. (Repeat with more water—but only a very small amount!—if needed.)  Use your hands to gather the dough into a mass and dump onto a piece of plastic wrap. Use the plastic wrap to form the dough into a ball, then smush into a disc with your hands, so the plastic wrap is extremely snug. (You can wrap with another piece of plastic wrap for extra insurance, which I always like to.)  Refrigerate for at least 1 hour before using, or for up to 2 days. This can also be frozen for up to 1 month	170 g butter,260 g flour,12 g sugar,1 tsp salt,60 ml very cold water	"Cut the @butter{170%g} (12 tbsp) into pieces. Put the cut-up butter in the freezer while you work on the dry ingredients.

Combine the @flour{260%g} (2 cups), @sugar{12%g} (1 tbsp), and @salt{1%tsp} in the bowl of a standing mixer, fitted with a paddle attachment. Mix for a few seconds, just to combine, then turn off.

Add the butter pieces to the dry ingredients. Mix on the lowest setting possible for 5 to 10 seconds—pulsing on/off if necessary, so the flour doesn’t fly out of the bowl—then turn off. Err on the side of undermixing at this step. You want each butter piece to be coated in flour and slightly bashed by the paddle, but most of the pieces should be barely smaller than when you started.

Turn on the mixer to the lowest setting possible, slowly pour in the 1/4 cup @very cold water{60%ml}. Once it’s all in, let the mixer run for a couple more seconds, then turn off and check in with the dough. The end goal is a very shaggy dough that holds together when squeezed, with some dough starting to grab onto the paddle attachment, and a few flour streaks on the side of the bowl. If the dough is still quite powdery and dry in some places and the sides of the bowl are still flour-coated, continue to mix while adding another tablespoon of water, and letting that incorporate for a couple seconds. (Repeat with more water—but only a very small amount!—if needed.)

Use your hands to gather the dough into a mass and dump onto a piece of plastic wrap. Use the plastic wrap to form the dough into a ball, then smush into a disc with your hands, so the plastic wrap is extremely snug. (You can wrap with another piece of plastic wrap for extra insurance, which I always like to.)

Refrigerate for at least ~{1%hour} before using, or for up to ~{2%days}. This can also be frozen for up to 1 month."
